CppStats	FastWilcoxTest
DDRTree	DDRTree
Isomap	RDRToolbox
LLE	RDRToolbox
Matrix	Matrix
TSNE	TSNE
abline	graphics	
anova	stats	
bluered	gplots
boxplot	graphics
axis	graphics
cmdscale	stats
cor	stats
createGroups	RFclust.SGE
cutree	stats
dbGetQuery	RSQLite
density	stats
drop0	Matrix
hclass	mclust
hclust	stats
hist	graphics
identical	base
if	base
ifelse	base
image	graphics
intersect	base
invisible	base
isGeneric	base
isS4	base
isTRUE	base
keys	base
kmeans	stats
lapply	base
layout	graphics
length	base
levels	base
library	base
lines	graphics
list	base
lm	stats
locked	RFclust.SGE
log	base
mapIds	AnnotationDbi
match	base
matrix	base
max	base
mean	base
median	base
min	base
missing	base
mtext	graphics
names	base
nchar	base
new	methods
order	base
par	graphics
paste	base
plot	graphics
predict	stats
pretty	base
progress_estimated	dplyr
quantile	stats
rainbow	grDevices
randomForest	randomForest
readLines	base
rect	graphics
reorder	stats
rep	base
requireNamespace	base
return	base
rev	base
round	base
rowData	scran
rowMeans	base
runRFclust	RFclust.SGE
runif	stats
sample	base
sapply	base
scale	base
scan	base
sd	stats
seq	base
sessionInfo	utils
setGeneric	methods
setdiff	base
sort	base
sparseMatrix	Matrix
split	base
sprintf	base
stop	base
str_replace	stringr
str_replace_all	stringr
str_split	stringr
sum	base
sweep	base
t	base
table	base
text	graphics
title	graphics
tolower	base
tryCatch	base
umap	umap
var	stats
warning	base
which	base
R6Class	R6
axis3d	rgl
barplot	graphics
bg3d	rgl
bgplot3d	rgl
browser	base
cat	base
close	base
colData	scran
devSVG	RSvgDevice
formula	base
gc	base
grid3d	rgl
legend	graphics
load	base
message	base
par3d	rgl
pdf	grDevices
pie	graphics
png	grDevices
rm	base
save	base
standardGeneric	base
suppressWarnings	base
switch	base
system	base
try	base
unlink	base
while	base
write	base
writeLines	base
x11	grDevices
Sys.sleep	base
all.equal	base
as.character	base
as.data.frame	base
as.dendrogram	stats
as.dist	stats
as.environment	base
as.factor	base
as.formula	base
as.matrix	base
as.numeric	base
as.vector	base
data.frame	base
dev.off	grDevices
dir.create	base
dir.exists	base
do.call	base
file.exists	base
file.path	base
file.remove	base
is.character	base
is.factor	base
is.function	base
is.na	base
is.null	base
make.names	base
match.arg	base
match.call	base
model.matrix	stats
on.exit	base
order.dendrogram	stats
p.adjust	stats
plot.new	graphics
read.delim	utils
read.table	utils
rgl.open	rgl
rgl.points	rgl
rgl.texts	rgl
write.table	utils
